object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of NO SEPTA,Probability of DEFECTS,Probability of COMPLETE SEPTA,Probability of BAD FIT,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Mean Intensity,Variance of Intensity,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity in neighborhood,Object Center_0,Object Center_1,Convexity,Number of Defects
29,0,30,0,COMPLETE SEPTA,0.3,0.31,0.37,0.02,2081.0,1099.0,2068.5078,1086.8943,83.54124,438.83594,388.0,2059.0,1075.0,130.0,2068.5078,1086.8943,0.7348485,4.0
30,0,31,COMPLETE SEPTA,COMPLETE SEPTA,0.33,0.03,0.64,0.0,893.0,1106.0,879.1253,1094.8418,115.42198,708.31866,455.0,866.0,1084.0,179.0,879.1253,1094.8418,0.76599324,4.0
31,0,32,NO SEPTA,NO SEPTA,0.79,0.09,0.12,0.0,896.0,1126.0,883.78326,1115.0626,81.89817,576.27423,383.0,872.0,1105.0,195.0,883.78326,1115.0626,0.75992066,4.0
32,0,33,NO SEPTA,NO SEPTA,0.69,0.23,0.08,0.0,1679.0,1154.0,1668.4421,1142.4778,64.78635,272.79114,337.0,1659.0,1132.0,136.0,1668.4421,1142.4778,0.7659091,4.0
33,0,34,NO SEPTA,NO SEPTA,0.66,0.08,0.01,0.25,1663.0,1161.0,1653.2881,1150.7572,63.67078,289.57886,243.0,1645.0,1141.0,136.0,1653.2881,1150.7572,0.675,4.0
34,0,35,BAD FIT,BAD FIT,0.03,0.02,0.14,0.81,1982.0,1198.0,1961.4594,1181.9506,61.92259,332.09933,788.0,1942.0,1165.0,85.0,1961.4594,1181.9506,0.5969697,4.0
35,0,36,DEFECTS,DEFECTS,0.14,0.66,0.2,0.0,957.0,1190.0,945.9842,1182.6403,59.430832,171.0041,253.0,935.0,1175.0,133.0,945.9842,1182.6403,0.76666665,4.0
36,0,37,COMPLETE SEPTA,COMPLETE SEPTA,0.17,0.16,0.67,0.0,958.0,1212.0,945.2893,1201.2079,56.747192,164.27316,356.0,934.0,1193.0,133.0,945.2893,1201.2079,0.78070176,4.0
37,0,38,COMPLETE SEPTA,COMPLETE SEPTA,0.05,0.12,0.75,0.08,1223.0,1361.0,1209.8853,1346.325,96.0856,947.374,514.0,1198.0,1332.0,137.0,1209.8853,1346.325,0.70896554,4.0
38,0,39,COMPLETE SEPTA,COMPLETE SEPTA,0.14,0.04,0.81,0.01,1201.0,1363.0,1188.2382,1347.9961,79.76575,439.2778,508.0,1177.0,1334.0,194.0,1188.2382,1347.9961,0.72988504,4.0
39,0,40,NO SEPTA,NO SEPTA,0.75,0.07,0.17,0.01,1164.0,1357.0,1153.6193,1345.9702,56.34437,127.603264,302.0,1145.0,1336.0,137.0,1153.6193,1345.9702,0.7568922,4.0
40,0,41,COMPLETE SEPTA,COMPLETE SEPTA,0.06,0.11,0.81,0.02,792.0,1364.0,780.22485,1351.4192,65.81499,233.41074,427.0,769.0,1339.0,70.0,780.22485,1351.4192,0.74260867,4.0
41,0,42,NO SEPTA,NO SEPTA,0.73,0.03,0.24,0.0,1181.0,1369.0,1169.0571,1356.6154,70.064514,149.96606,403.0,1158.0,1346.0,188.0,1169.0571,1356.6154,0.7618148,4.0
42,0,43,0,BAD FIT,0.02,0.08,0.1,0.8,256.0,1490.0,239.7289,1475.336,67.27435,300.4653,616.0,224.0,1461.0,130.0,239.7289,1475.336,0.6637931,5.0
43,0,44,DEFECTS,DEFECTS,0.08,0.74,0.17,0.01,1536.0,1533.0,1525.4581,1520.338,65.49162,260.7192,358.0,1517.0,1509.0,114.0,1525.4581,1520.338,0.7850877,5.0
44,0,45,DEFECTS,DEFECTS,0.02,0.76,0.21,0.01,1519.0,1537.0,1506.8546,1522.6608,64.25991,257.77826,454.0,1497.0,1510.0,117.0,1506.8546,1522.6608,0.76430976,4.0
45,0,46,0,BAD FIT,0.05,0.08,0.11,0.76,2209.0,1624.0,2183.3792,1607.2693,73.157425,186.34453,1010.0,2159.0,1592.0,140.0,2183.3792,1607.2693,0.63125,4.0
46,0,47,0,BAD FIT,0.07,0.09,0.13,0.71,1896.0,1664.0,1882.7124,1643.0974,69.84345,188.67838,626.0,1873.0,1620.0,255.0,1882.7124,1643.0974,0.61857706,4.0
47,0,48,BAD FIT,BAD FIT,0.02,0.04,0.07,0.87,2223.0,1667.0,2205.3115,1641.6233,74.84143,288.69806,1091.0,2186.0,1622.0,135.0,2205.3115,1641.6233,0.65525526,4.0
48,0,49,COMPLETE SEPTA,COMPLETE SEPTA,0.11,0.2,0.67,0.02,1913.0,1667.0,1902.8218,1655.7462,69.74018,155.75122,331.0,1894.0,1645.0,255.0,1902.8218,1655.7462,0.791866,4.0
49,0,50,DEFECTS,DEFECTS,0.11,0.64,0.16,0.09,2238.0,1669.0,2228.5508,1657.8351,65.65965,302.35785,285.0,2220.0,1647.0,140.0,2228.5508,1657.8351,0.719697,4.0
50,0,51,BAD FIT,BAD FIT,0.03,0.12,0.04,0.81,1513.0,1721.0,1496.0759,1710.2969,84.64286,331.35907,448.0,1483.0,1698.0,135.0,1496.0759,1710.2969,0.64927536,5.0
51,0,52,DEFECTS,DEFECTS,0.02,0.78,0.14,0.06,1484.0,1725.0,1472.6981,1711.8213,75.05073,333.71,414.0,1463.0,1700.0,137.0,1472.6981,1711.8213,0.7885714,4.0
52,0,53,BAD FIT,BAD FIT,0.0,0.01,0.17,0.82,1762.0,1782.0,1746.9025,1765.8605,53.79732,132.21132,523.0,1733.0,1749.0,60.0,1746.9025,1765.8605,0.5464995,4.0
53,0,54,0,DEFECTS,0.08,0.65,0.21,0.06,523.0,1788.0,509.0345,1776.362,83.55911,647.29083,406.0,497.0,1767.0,169.0,509.0345,1776.362,0.74358976,4.0
54,0,55,COMPLETE SEPTA,COMPLETE SEPTA,0.02,0.16,0.74,0.08,1358.0,1799.0,1346.1589,1787.7946,59.671234,259.4426,365.0,1335.0,1778.0,68.0,1346.1589,1787.7946,0.75569355,4.0
55,0,56,DEFECTS,DEFECTS,0.05,0.73,0.17,0.05,526.0,1809.0,511.0694,1796.0653,84.42041,614.71716,490.0,498.0,1785.0,168.0,511.0694,1796.0653,0.7291667,4.0
56,0,57,DEFECTS,DEFECTS,0.03,0.86,0.11,0.0,865.0,1817.0,856.23505,1807.9103,67.82906,862.97076,234.0,848.0,1799.0,157.0,856.23505,1807.9103,0.7647059,4.0
57,0,58,COMPLETE SEPTA,COMPLETE SEPTA,0.01,0.07,0.8,0.12,2087.0,1871.0,2073.6167,1857.0985,64.25696,345.74124,467.0,2061.0,1845.0,71.0,2073.6167,1857.0985,0.6908284,4.0
58,0,59,BAD FIT,BAD FIT,0.03,0.07,0.17,0.73,402.0,1941.0,390.83734,1929.7952,49.099396,70.76421,332.0,381.0,1919.0,45.0,390.83734,1929.7952,0.7186147,4.0
59,0,60,BAD FIT,BAD FIT,0.01,0.21,0.12,0.66,1485.0,2022.0,1473.963,2010.2336,66.49573,693.0876,351.0,1464.0,1998.0,102.0,1473.963,2010.2336,0.6964286,4.0
60,0,61,0,BAD FIT,0.04,0.06,0.31,0.59,1795.0,2148.0,1784.629,2133.5107,52.169353,110.43637,372.0,1776.0,2119.0,56.0,1784.629,2133.5107,0.6751361,4.0
61,0,62,0,COMPLETE SEPTA,0.08,0.22,0.44,0.26,1191.0,2160.0,1178.5385,2155.6155,59.71006,196.47806,169.0,1167.0,2151.0,57.0,1178.5385,2155.6155,0.7824074,2.0
